Item Name,Category,Price
Maultasche,Appetizer,9.00
Swiss sausage salad,Appetizer,10.00
Smoked trout,Appetizer,15.00
Swiss Rösti,Appetizer,13.00
Currywurst Deluxe,Appetizer,15.00
Beer Hall Burger,Appetizer,17.00
Swabian beef broth,Soup,6.00
3 Maultaschen in the broth,Soup,10.00
Maultaschen “Meran”,Maultasche,17.00
Swabian Maultaschen,Maultasche,17.00
Maultaschen Viennese style,Maultasche,17.00
Maultaschen Beer Hall,Maultasche,18.00
Swabian cheese spaetzle,Main_Dish,14.00
Lentils, Spätzle , Saiten,Main_Dish,13.00
Schnitzel “Viennese style”,Main_Dish,16.00
Cream schnitzel,Main_Dish,13.00
Swabian onion roast beef,Main_Dish,29.00
Onion roast beef,Main_Dish,34.00
Beer halls Töpfle,Main_Dish,21.00
Wiener Schnitzel made from veal,Main_Dish,27.00
Small Salad,Extras,4.00
Large Salad,Extras,7.00
Potato Salad,Extras,4.00
French Fries,Extras,4.00
Croquettes,Extras,4.00
Spätzle & Sauce,Extras,4.00
Affogato Espresso,Dessert,4.00
Blueberry ice cream,Dessert,5.00
Vanilla ice cream,Dessert,8.00
Baked apple rings,Dessert,9.00
