Item Name,Category,Price
Homemade Beef Broth with Maultaschen (meat-filled dumplings),Main_Dish,8.50
Homemade Beef Broth with Flädle (sliced savory pancakes),Main_Dish,8.00
Small Sausage Salad (Wurstsalat),Extras,10.90
Large Sausage Salad (Wurstsalat),Extras,12.90
Small Swabian Sausage Salad,Extras,11.90
Large Swabian Sausage Salad,Extras,13.90
Small Swiss Sausage Salad,Extras,11.90
Large Swiss Sausage Salad,Extras,13.90
Small Melted Maultaschen,Appetizer,13.30
Large Melted Maultaschen,Appetizer,15.30
Small Napkin Dumplings(Serviettenknödel),Appetizer,14.40
Large Napkin Dumplings(Serviettenknödel),Appetizer,16.40
Small Alb-Feld Lentils with Spätzle,Appetizer,12.90
Large Alb-Feld Lentils with Spätzle,Appetizer,13.90
Sour Tripe(Saure Kutteln) with bread,Appetizer,11.90
Sour Tripe(Saure Kutteln) with potatoes,Appetizer,15.50
Small Cheese Spätzle(Käsespätzle),Appetizer,14.50
Large Cheese Spätzle(Käsespätzle),Appetizer,16.50
Beef Tartare,Appetizer,19.90
Mixed Salad,Extras,11.90
Mixed Salad with Viennese Fried Chicken,Extras,16.50
Mixed Salad with House - Smoked Salmon,Extras,17.70
Mixed Salad with Goat Cheese,Extras,16.50
Small Side Salad,Extras,16.50
Bratwurst,Main_Dish,14.80
Small Waldstube Meat Patties,Main_Dish,12.80
Large Waldstube Meat Patties,Main_Dish,14.80
Waldstube Currywurst,Main_Dish,13.80
Small Breaded Pork Schnitzel Vienna Style,Main_Dish,17.90
Large Breaded Pork Schnitzel Vienna Style,Main_Dish,19.90
Wiener Schnitzel (Veal),Main_Dish,27.90
Small Creamy Roast Veal,Main_Dish,20.50
Large Creamy Roast Veal,Main_Dish,22.50
Small Pork Fillet Medallions,Main_Dish,23.40
Large Pork Fillet Medallions,Main_Dish,25.40
Onion Roast Beef (Zwiebelrostbraten),Main_Dish,32.50
Roast Beef,Main_Dish,31.00
Beef Fillet,Main_Dish,37.00
Arctic Char Fillet,Main_Dish,25.90
Fried Calamari (From 5:30 PM),Main_Dish,25.30
Small Tagliatelle,Main_Dish,15.90
Large Tagliatelle,Main_Dish,17.90
Vegetarian Maultaschen,Main_Dish,16.00
Celery Schnitzel,Main_Dish,17.30
Chicken Nuggets,Main_Dish,9.90
Spätzle with Gravy,Main_Dish,7.50
Kids' Schnitzel,Main_Dish,10.90
French fries,Extras,6.90
Homemade Spätzle,Extras,6.90
Rosemary potatoes,Extras,6.90
Fried potatoes,Extras,6.90
Grilled vegetables,Extras,6.90
Mixed salad,Extras,6.90
Potato salad,Extras,6.90
Gravy (Soße),Extras,2.70
Small Homemade Apple Fritters,Dessert,8.20
Small Kaiserschmarrn (shredded sweet pancake),Dessert,9.50
Large Kaiserschmarrn (shredded sweet pancake),Dessert,12.50
Waldstube Love: Vanilla ice cream with hot raspberries and oat crunch,Dessert,8.20
"1 Scoop of Ice Cream (Chocolate,Vanilla,Strawberry,or Walnut)",Dessert,2.80
"1 Scoop of Fruit Sorbet (Cassis,Lemon,or Passion Fruit)",Dessert,2.80
"Gerolsteiner Mineralwasser 0,25l",Non_Alcoholic_Drink,3.20
"Gerolsteiner Mineralwasser 0,75l",Non_Alcoholic_Drink,6.20
"Tafelwasser 0,2l",Non_Alcoholic_Drink,2.50
"Tafelwasser 0,4l",Non_Alcoholic_Drink,3.50
"Afri Cola 0,2l",Non_Alcoholic_Drink,3.20
"Afri Cola 0,4l",Non_Alcoholic_Drink,4.00
"Afri Cola Light 0,33l",Non_Alcoholic_Drink,3.50
"Bluna 0,2l",Non_Alcoholic_Drink,3.20
"Bluna 0,4l",Non_Alcoholic_Drink,4.00
"Bluna Zitrone 0,2l",Non_Alcoholic_Drink,3.20
"Bluna Zitrone 0,4l",Non_Alcoholic_Drink,4.00
"Almdudler 0,33l",Non_Alcoholic_Drink,3.50
"Fruchtsäfte 0,2l",Non_Alcoholic_Drink,3.30
"Fruchtsäfte 0,4l",Non_Alcoholic_Drink,4.90
"Saftschorle 0,2l",Non_Alcoholic_Drink,2.90
"Saftschorle 0,4l",Non_Alcoholic_Drink,4.60
"Paulaner Spezi 0,5l",Non_Alcoholic_Drink,4.00
"Red Bull 0,25l",Non_Alcoholic_Drink,4.00
"Paulaner Hefeweizen 0,3l",Alcoholic_Drink,3.80
"Paulaner Hefeweizen 0,5l",Alcoholic_Drink,4.80
"Chiemseer Hell 0,3l",Alcoholic_Drink,3.80
"Chiemseer Hell 0,5l",Alcoholic_Drink,4.80
"Chiemseer Hell 1,0l",Alcoholic_Drink,9.10
"Wasseralfinger Pils 0,3l",Alcoholic_Drink,3.90
"Radler Süss/Sauer 0,3l",Alcoholic_Drink,3.80
"Radler Süss/Sauer 0,5l",Alcoholic_Drink,4.80
"Hefeweizenradler Süss/Sauer 0,3l",Alcoholic_Drink,3.80
"Hefeweizenradler Süss/Sauer 0,5l",Alcoholic_Drink,4.80
"Monatsbier 0,5l",Alcoholic_Drink,4.80
"Paulaner Kristallweizen 0,5l",Alcoholic_Drink,4.80
"Paulaner Hefeweizen Alkoholfrei 0,5l",Non_Alcoholic_Drink,4.80
"Paulaner Helles Alkoholfrei 0,5l",Non_Alcoholic_Drink,4.80
"Hacker Pschorr Radler Alkoholfrei 0,5l",Non_Alcoholic_Drink,4.80
"Weinmanufaktur Stuttgart Riesling 0,1l",Alcoholic_Drink,3.20
"Weinmanufaktur Stuttgart Riesling 0,2l",Alcoholic_Drink,5.60
"Christian Hirsch Wildklasse Riesling / Chardonnay 0,1l",Alcoholic_Drink,3.50
"Christian Hirsch Wildklasse Riesling / Chardonnay 0,2l",Alcoholic_Drink,6.30
"Christian Hirsch Wildklasse Riesling / Chardonnay 0,75l",Alcoholic_Drink,21.80
"Krämer Straight Riesling 0,1l",Alcoholic_Drink,4.00
"Krämer Straight Riesling 0,2l",Alcoholic_Drink,7.00
"Krämer Straight Riesling 0,75l",Alcoholic_Drink,24.60
"Schmitges Grauschiefer Riesling 0,1l",Alcoholic_Drink,4.00
"Schmitges Grauschiefer Riesling 0,2l",Alcoholic_Drink,7.10
"Schmitges Grauschiefer Riesling 0,75l",Alcoholic_Drink,25.10
"Robert Weil Kiedricher Riesling 0,75l",Alcoholic_Drink,44.00
"Weinschorle Rot/Weiss/Rosé 0,2l",Alcoholic_Drink,5.00
"Villa Sandi II Fresco Prosecco Spumante Brut D.O.C. 0,1l",Alcoholic_Drink,5.00
"Villa Sandi II Fresco Prosecco Spumante Brut D.O.C. 0,75l",Alcoholic_Drink,29.00
"Villa Sandi II Fresco Prosecco Rosé 0,1l",Alcoholic_Drink,5.50
"Villa Sandi II Fresco Prosecco Rosé 0,75l",Alcoholic_Drink,31.00
"Genossenschaftskellerei Heilbronn Zero Alkoholfreier Mousseux 0,1l",Non_Alcoholic_Drink,4.50
"Genossenschaftskellerei Heilbronn Zero Alkoholfreier Mousseux 0,75l",Non_Alcoholic_Drink,27.00
Prosecco Schorle,Alcoholic_Drink,6.00
Waldstube Schorle,Alcoholic_Drink,7.50
Aperol Spritz,Alcoholic_Drink,7.50
Campari Spritz,Alcoholic_Drink,7.50
Limoncello Spritz,Alcoholic_Drink,7.50
Hugo,Alcoholic_Drink,7.50
"Pommery Brut Royal 0,75l",Alcoholic_Drink,72.00
"Pommery Brut Rosé Royal 0,75l",Alcoholic_Drink,83.00
Schnäpsle 2cl,Alcoholic_Drink,3.70
Grappa 2cl,Alcoholic_Drink,4.00
Ramazotti 4cl,Alcoholic_Drink,4.20
Averna 4cl,Alcoholic_Drink,4.20
Malteserkreuz Aquavit 2cl,Alcoholic_Drink,3.80
Fernet Branca 4cl,Alcoholic_Drink,4.20
Sandeman Fino Sherry 4cl,Alcoholic_Drink,4.70
Laphroaig Whisky 2cl,Alcoholic_Drink,4.50
Laphroaig Whisky 4cl,Alcoholic_Drink,9.00
Cuba Libre,Alcoholic_Drink,8.00
Jack Daniels Cola,Alcoholic_Drink,8.00
Gordons Gin Tonic,Alcoholic_Drink,8.00
Tanqueray Gin Tonic,Alcoholic_Drink,9.00
Tanqueray No.10 Gin Tonic,Alcoholic_Drink,11.00
Absolut Vodka Red Bull,Alcoholic_Drink,8.50
Martini Bianco 4cl,Alcoholic_Drink,5.00
Campari Soda,Alcoholic_Drink,7.50
Campari Orange,Alcoholic_Drink,7.50
Kaffee Schwarz,Non_Alcoholic_Drink,3.50
Espresso,Non_Alcoholic_Drink,2.70
Espresso Macchiato,Non_Alcoholic_Drink,3.20
Espresso Doppio,Non_Alcoholic_Drink,4.40
Cappuccino,Non_Alcoholic_Drink,3.70
Latte Macchiato,Non_Alcoholic_Drink,4.50
Milchkaffee,Non_Alcoholic_Drink,4.50
Affogato,Non_Alcoholic_Drink,5.50
Tee,Non_Alcoholic_Drink,3.80
Heisse Schokolade,Non_Alcoholic_Drink,4.50
Heisse Schokolade mit Sahne,Non_Alcoholic_Drink,5.00
