Item Name,Category,Price
Nachos Original,Appetizer,7.90
Loaded Nachos,Appetizer,8.90
Mixed Dips y Chips,Appetizer,7.90
Quesadas,Appetizer,5.90
Taquitos con Pollo,Appetizer,6.50
Snack Platter,Appetizer,14.90
Molcajete for 2 People,Appetizer,9.50
Crunchy Tacos Birria Style (3 Piece),Taco,13.90
TAQUERIA,Taco,13.90
Chicken Tinga Taco,Taco,3.90
Beef Barbacoa Taco,Taco,3.90
Crispy Cauliflower Taco,Taco,3.90
Chimichurri Taco,Taco,3.90
Ensalada Vegetariana,Extras,11.90
Chicken Caesar Salad,Extras,14.90
Prawn Salad,Extras,15.90
Oaxaca Bowl,Extras,14.50
Chicken Bowl,Extras,14.90
Burrito Supremo,Burrito,16.50
Burrito New-Meat,Burrito,16.50
Burrito Barbacoa,Burrito,16.50
Burrito Chimichurri,Burrito,16.90
Tres Miniburritos,Burrito,17.50
Summer Burrito,Burrito,15.90
Enchiladas Pollo,Main_Dish,16.90
Enchiladas Vegetarianas,Main_Dish,15.90
Enchiladas Barbacoa,Main_Dish,16.90
Fajita New-Meat,Main_Dish,23.90
Fajita Pollo,Main_Dish,19.90
Fajita Steak,Main_Dish,27.90
Fajita Prawn,Main_Dish,23.90
Fajita Cauliflower,Main_Dish,18.90
Quesadilla Vegetariana,Main_Dish,14.90
Quesadilla Pollo,Main_Dish,15.90
Quesadilla Barbacoa,Main_Dish,15.90
Plato Mexicano,Main_Dish,18.90
Plato Verde,Main_Dish,15.90
Hot Wings,Main_Dish,14.50
Burger Clasica,Main_Dish,14.50
Double Bacon Cheese Burger,Main_Dish,19.90
Crunchy Chicken Burger,Main_Dish,15.50
New-Meat Burger,Main_Dish,13.90
Crunchy Chicken,Main_Dish,18.90
Steak,Main_Dish,26.90
New-Meat Flank Steak,Main_Dish,20.90
Vegane Dips,Extras,2.00
Dips,Extras,2.00
Chili Cheese Fries,Extras,5.90
Crunchy Maiskolben,Extras,4.50
Sweet Potato Fries,Extras,5.50
Fries,Extras,3.90
Knoblauchbrot,Extras,4.20
Grilled Avocado,Extras,4.20
Mexican Fries,Extras,4.50
Mexikanischer Reis & Quinoa,Extras,3.90
Crispy Cauliflower Bites,Extras,5.90
Beilagensalat,Extras,3.90
Grillgemüse,Extras,3.50
Triple Sweets,Dessert,15.90
Churros,Dessert,6.50
Tartas De Chocolate,Dessert,6.00
Buñuelo,Dessert,6.00
Classic Margarita,Alcoholic_Drink,8.90
Tommys Margarita,Alcoholic_Drink,9.80
Enchi de Paloma,Alcoholic_Drink,8.90
Horchata Drink,Non_Alcoholic_Drink,5.90
Pfirsich-Eistee,Non_Alcoholic_Drink,5.90
Holunder-Minz-Limonade,Non_Alcoholic_Drink,5.90
Noperol Spritz,Non_Alcoholic_Drink,5.90
Aperol Spritz,Alcoholic_Drink,7.20
Lillet Wild Berry,Alcoholic_Drink,7.20
Sarti Spritz,Alcoholic_Drink,7.50
Kessler Sekt 1826 Klassik Sec 0.75l Dry,Alcoholic_Drink,24.00
Frozen Strawberry Margarita,Alcoholic_Drink,8.20
Frozen Spicy Mango Margarita,Alcoholic_Drink,8.20
Frozen Virgin Strawberry Margarita,Non_Alcoholic_Drink,7.20
Frozen Virgin Spicy Mango Margarita,Non_Alcoholic_Drink,7.20
Caipi Ginger,Non_Alcoholic_Drink,7.60
Coconut Kiss,Non_Alcoholic_Drink,7.60
El Niño,Non_Alcoholic_Drink,7.60
Virgin Mojito,Non_Alcoholic_Drink,7.60
Mock Tail,Non_Alcoholic_Drink,7.60
Spring Fever - Jumbo-,Non_Alcoholic_Drink,9.20
Pink Berry -Jumbo-,Non_Alcoholic_Drink,9.20
Touch Down,Alcoholic_Drink,8.90
Piña Colada,Alcoholic_Drink,9.20
Espresso Martini,Alcoholic_Drink,9.20
Whiskey Sour,Alcoholic_Drink,9.20
Elderflower Fizz,Alcoholic_Drink,9.20
Sex on the Beach,Alcoholic_Drink,9.20
Zombie,Alcoholic_Drink,9.20
Cuba Libre,Alcoholic_Drink,8.90
Mai Tai,Alcoholic_Drink,9.20
Moscow Mule,Alcoholic_Drink,8.90
Mojito,Alcoholic_Drink,8.90
Sunny Beach,Alcoholic_Drink,8.90
Strawberry Mojito,Alcoholic_Drink,9.20
Razz Mojito,Alcoholic_Drink,9.20
Caipirinha,Alcoholic_Drink,8.90
Caipi Melon,Alcoholic_Drink,8.90
Caribbean Caipi,Alcoholic_Drink,8.90
Singapore Sling,Alcoholic_Drink,8.90
Pink Berry -Jumbo-,Alcoholic_Drink,9.20
Sunset,Alcoholic_Drink,12.90
Big Ben,Alcoholic_Drink,12.90
Captain’s Hurricane,Alcoholic_Drink,12.90
Cloud 9,Alcoholic_Drink,12.90
Enchilada Cooler,Alcoholic_Drink,12.90
Long Island Ice Tea,Alcoholic_Drink,12.90
Long Paloma,Alcoholic_Drink,12.90
Pink Monkey Tonic,Alcoholic_Drink,12.90
Orange Tanqueray Sevilla Tonic,Alcoholic_Drink,10.20
YELLOW Bomby Presse Tonic,Alcoholic_Drink,10.90
Green Hendricks Tonic,Alcoholic_Drink,11.90
BLACK Brockmans Tonic,Alcoholic_Drink,12.90
Casamigos Blanco,Alcoholic_Drink,5.20
Jose Cuervo Especial Silver,Alcoholic_Drink,2.90
Tradicional Blanco,Alcoholic_Drink,3.40
1800 Añejo,Alcoholic_Drink,4.00
1800 Cristalino,Alcoholic_Drink,4.50
Casamigos Añejo,Alcoholic_Drink,7.20
1800 Reposado,Alcoholic_Drink,4.20
Casamigos Reposado,Alcoholic_Drink,5.90
Jose Cuervo Especial Reposado,Alcoholic_Drink,2.90
Tradicional Reposado,Alcoholic_Drink,3.40
Don Julio Blanco,Alcoholic_Drink,4.20
Patrón Silver,Alcoholic_Drink,4.80
Corralejo blanco,Alcoholic_Drink,3.00
Olmeca Altos Plata,Alcoholic_Drink,4.80
Corralejo Reposado,Alcoholic_Drink,3.50
Don Julio Reposado,Alcoholic_Drink,5.50
Patrón Reposado,Alcoholic_Drink,5.50
Olmeca Altos Reposado,Alcoholic_Drink,5.50
Corralejo Añejo,Alcoholic_Drink,6.20
Corralejo Gran Añejo,Alcoholic_Drink,7.20
Patrón Añejo,Alcoholic_Drink,5.90
Don Julio Añejo,Alcoholic_Drink,5.90
Corralejo 9900 Horas,Alcoholic_Drink,6.90
Gusano Rojo Mezcal,Alcoholic_Drink,4.20
"Rosé Enchi 0,75l",Alcoholic_Drink,19.90
Sauvignon Blanc,Alcoholic_Drink,7.80
