Item Name,Category,Price
Table Water (0.2 l),Non_Alcoholic_Drink,2.5
Table Water (0.4 l),Non_Alcoholic_Drink,3.5
Selters Mineral Water,Non_Alcoholic_Drink,6.5
Coca Cola,Non_Alcoholic_Drink,4.0
Coca Cola Light,Non_Alcoholic_Drink,4.0
Fanta,Non_Alcoholic_Drink,4.0
Sprite,Non_Alcoholic_Drink,4.0
Spezi,Non_Alcoholic_Drink,4.0
Bitter Lemon,Non_Alcoholic_Drink,3.5
Ginger Ale,Alcoholic_Drink,3.5
Apple Juice,Non_Alcoholic_Drink,4.5
Orange Juice,Non_Alcoholic_Drink,4.5
Mango Nectar,Non_Alcoholic_Drink,4.5
Passion Fruit Nectar,Non_Alcoholic_Drink,4.5
Currant Nectar,Non_Alcoholic_Drink,4.5
Lychee Nectar,Non_Alcoholic_Drink,4.5
Guava Nectar,Non_Alcoholic_Drink,4.5
All Juices & Nectars also available as Spritzer,Non_Alcoholic_Drink,4.0
Blue Slip Cocktail,Alcoholic_Drink,9.5
Lychee Rose Mojito,Alcoholic_Drink,9.5
Pink Breeze Cocktail,Alcoholic_Drink,9.5
Ganesha Colada,Non_Alcoholic_Drink,9.5
Sharabi Mango Cocktail,Alcoholic_Drink,9.5
Elderflower-Mint Lemonade,Non_Alcoholic_Drink,8.5
Strawberry-Melon Lemonade,Non_Alcoholic_Drink,8.5
Mango-Lime Lemonade,Non_Alcoholic_Drink,8.5
Ginger-Honey Lemonade,Non_Alcoholic_Drink,8.5
Ganesha Special Lemonade,Non_Alcoholic_Drink,8.5
Summer Special Lemonade,Non_Alcoholic_Drink,8.5
Meethi Lassi (Sweet),Non_Alcoholic_Drink,4.5
Namkeen Lassi (Salty),Non_Alcoholic_Drink,4.5
Masala Lassi (Spiced),Non_Alcoholic_Drink,4.5
Coconut Lassi,Non_Alcoholic_Drink,5.0
Strawberry Lassi,Non_Alcoholic_Drink,4.5
Chai Latte,Coffee_Types,5.0
Kahwa (Green Tea with Cardamom),Coffee_Types,4.5
Coffee,Coffee_Types,4.0
Espresso,Coffee_Types,3.0
Latte Macchiato,Coffee_Types,5.0
Ginger Tea with Fresh Mint,Coffee_Types,4.5
Jasmine Tea,Coffee_Types,4.5
Yogi Tea (Ayurvedic Herb Blend),Coffee_Types,4.5
Non-alcoholic Beer,Non_Alcoholic_Drink,4.5
Aperol Spritz,Alcoholic_Drink,7.5
Hugo,Alcoholic_Drink,7.5
Lillet Berry,Alcoholic_Drink,7.5
Glass of Prosecco (also with Mango),Alcoholic_Drink,4.5
Bottle of Prosecco,Alcoholic_Drink,20.0
Jacky Cola,Non_Alcoholic_Drink,8.5
Johnny Walker Black Label,Alcoholic_Drink,8.5
Gin Tonic,Alcoholic_Drink,8.5
