Item Name,Category,Price
Mini Spring Rolls 6 pcs. (with sweet and sour sauce),Appetizer,3.90
Fried Wontons (with sweet and sour sauce),Appetizer,4.90
Crab Chips,Appetizer,3.90
Mixed Salad,Extras,4.90
Peking Soup,Soup,3.90
Wonton Soup,Soup,4.90
Chicken Soup with Bamboo and Mashrooms,Soup,3.90
Fried Rice with Vegetables,Main_Dish,13.90
Fried Noodles with Vegetables,Main_Dish,13.90
Fried Rice with Beef,Main_Dish,15.90
Fried Noodles with Chicken,Main_Dish,15.90
Fried Noodles with Baked Duck Meat ,Main_Dish,19.90
Baked Chicken Fillet (with sweet and sour or dark spicy sauce,Main_Dish,18.90
Roasted Chicken Fillet with Vegetables,Main_Dish,18.90
Roasted Chicken Fillet (in curry sauce with coconut milk (spicy)),Main_Dish,18.90
Baked Duck with Vegetables (sweet-sour or dark-spicy sauce),Main_Dish,21.90
Pork with Bamboo Morels and Mushrooms,Main_Dish,18.90
Beef with Onions,Main_Dish,19.90
Szechuan-style beef (spicy),Main_Dish,19.90
Fasting Food with Various Vegetables,Main_Dish,15.90
Fried Shrimp with Vegetables,Main_Dish,23.90
Eight Delicacies (spicy),Main_Dish,21.90
Baked Banana with Honey,Dessert,4.90
Lychee,Dessert,4.90
