Item Name,Category,Price
Papadam (2 Pieces),Appetizer,3.10
Samosa (2 Pieces),Appetizer,5.90
Samosa Chaat,Appetizer,6.90
Mini Spring Rolls (9 Pieces),Appetizer,6.90
Vegetable Pakora,Appetizer,5.90
Paneer Pakora,Appetizer,6.90
Chicken Pakora,Appetizer,7.50
Mixed Appetizer Platter,Appetizer,11.90
Tomato Soup,Soup,4.90
Dal Soup (Lentil),Soup,4.90
Chicken Soup,Soup,5.50
Seasonal Salad,Extras,6.50
Caprese Salad,Extras,7.50
Indus Valley Salad (with Tandoori Chicken),Extras,9.50
Shrimp Salad,Extras,10.50
Mixed Raita,Extras,4.50
Mango Chutney,Extras,2.50
Mint Sauce,Extras,2.00
Pizza Margherita 30cm,Pizza,6.90
Pizza Salami 30cm,Pizza,7.90
Pizza Funghi 30cm,Pizza,7.50
Indizza Paneer Tikka Pizza 30cm,Pizza,8.50
Indizza Chicken Tikka Pizza 30cm,Pizza,8.90
Dal Makhani,Main_Dish,11.90
Chana Masala,Main_Dish,11.50
Aloo Gobbi (Potato and Cauliflower),Main_Dish,11.90
Mixed Vegetables (Spicy),Main_Dish,11.90
Navratan Korma,Main_Dish,12.90
Shahi Paneer,Main_Dish,13.50
Karahi Paneer,Main_Dish,13.90
Palak Paneer,Main_Dish,13.50
Mattar Paneer,Main_Dish,12.90
Chicken Curry,Main_Dish,13.90
Chicken Sabzi (with Vegetables),Main_Dish,13.90
Chicken Palak (with Spinach),Main_Dish,13.90
Chicken Korma,Main_Dish,14.50
Butter Chicken,Main_Dish,14.90
Chicken Tikka Masala,Main_Dish,14.90
Chicken Vindaloo (Very Spicy),Main_Dish,14.50
Mango Chicken,Main_Dish,14.50
Lamb Curry,Main_Dish,15.50
Lamb Korma,Main_Dish,15.90
Lamb Palak,Main_Dish,15.50
Lamb Rogan Josh,Main_Dish,15.90
Lamb Vindaloo,Main_Dish,15.90
Duck Curry,Main_Dish,15.90
Duck Mango,Main_Dish,16.90
Duck Tikka Masala,Main_Dish,16.90
Vegetable Biryani,Main_Dish,12.90
Chicken Biryani,Main_Dish,14.50
Lamb Biryani,Main_Dish,15.90
Roti (Whole Wheat Bread),Main_Dish,2.90
Naan (Wheat Flour Bread),Main_Dish,3.20
Garlic Naan,Main_Dish,4.10
Butter Naan,Main_Dish,3.80
Cheese Naan,Main_Dish,4.50
Basmati Rice,Main_Dish,3.50
Gulab Jamun (3 Pieces),Dessert,4.50
Mango Kulfi,Dessert,4.90
Tiramisu,Dessert,4.50
Mango Lassi 0.4l,Non_Alcoholic_Drink,5.90
Sweet Lassi 0.4l,Non_Alcoholic_Drink,4.90
Salty Lassi 0.4l,Non_Alcoholic_Drink,4.90
Coca-Cola 0.33l,Non_Alcoholic_Drink,3.20
Mineral Water 0.7l,Non_Alcoholic_Drink,5.50
