Item Name,Category,Price
Antipasti all'Italiana,Appetizer,8.20
Piatto Misto,Appetizer,7.40
Piatto alla Griglia,Appetizer,7.20
Prosciutto crudo Di Parma,Appetizer,7.90
Prosciutto a Melone,Appetizer,8.60
Caprese,Appetizer,7.40
Frutti di Mare,Appetizer,8.40
Gamberetti Salad,Appetizer,8.40
Gamberetti Cocktail,Appetizer,8.40
Pastina in brodo,Soup,3.70
Zuppa pavese,Soup,3.70
Straciatella alla romana,Soup,3.70
Zuppa di fagioli,Soup,3.70
Crema di pomodoro,Soup,4.30
Tortellini in brodo,Soup,4.20
Minestrone,Soup,4.20
Insalata verde,Extras,3.40
Insalata di promdori,Extras,3.70
Insalata cetriolo,Extras,3.20
Inalata mystra grande,Extras,4.80
Inalata mistra piccola,Extras,3.70
Arugula salad,Extras,4.20
Insalata Nizzarda,Extras,10.50
Insalata della Casa,Extras,10.20
Fagiolini al burro,Extras,4.20
