Item Name,Category,Price
Prickle Berry,Alcoholic_Drink,7.9
Passion Soul,Alcoholic_Drink,7.9
KoKoNo Pimm's,Alcoholic_Drink,7.9
Night Sky (Red Lotus),Alcoholic_Drink,7.9
Aruba Spritz,Alcoholic_Drink,7.9
Pink Bubble,Alcoholic_Drink,7.9
Hugo,Alcoholic_Drink,7.5
Aperol Spritz,Alcoholic_Drink,7.5
Coco Love Soup (Chicken),Soup,6.5
Coco Love Soup (Prawns),Soup,7.5
Coco Love Soup (Salmon),Soup,7.5
Catch The Fish (Chicken),Soup,6.5
Catch The Fish (Prawns),Soup,7.5
Catch The Fish (Salmon),Soup,7.5
Edamame,Appetizer,6.9
Vietnamese Spring Rolls 'Nem',Appetizer,7.5
Grilled Seafood,Appetizer,12.9
Edamame Sweet & Sour Spicy,Appetizer,7.9
Gyoza Veggie,Appetizer,7.9
Crispy Babys,Appetizer,8.9
Green Papaya Salad vs. Mr. Pulpo,Appetizer,14.9
Grilled Duck - Mango Salad,Appetizer,14.9
Popcorn Shrimp & Cashew,Appetizer,9.9
Spicy Calamari,Appetizer,9.9
Ponzu Soul,Appetizer,12.9
Gyoza Chicken,Appetizer,7.9
Crew Love Tapas (2 Persons),Appetizer,12.9
Crew Love Tapas (3 Persons),Appetizer,7.9
Crew Love Tapas (pro Person),Appetizer,10.9
Feuerlachs / Flambéed salmon Seaweed Salad,Appetizer,11.9
Feuerthunfisch / Flambéed tuna Seaweed Salad,Appetizer,12.9
Tartare Lachs/Salmon,Appetizer,11.9
Tartare Thunfisch / Tuna,Appetizer,12.9
Best Ocean Sushi Starter,Appetizer,19.9
Wildkräutersalat Rinderhüftsteak,Main_Dish,16.9
Wildkräutersalat Garnelen,Main_Dish,18.9
Wildkräutersalat Lachs gegrillt,Main_Dish,19.9
Kokos-Curry Tofu,Main_Dish,14.9
Kokos-Curry Huhn,Main_Dish,15.9
Kokos-Curry Rinderhüftsteak,Main_Dish,17.9
Kokos-Curry Barbarie Entebrust,Main_Dish,19.9
Kokos-Curry Garnelen,Main_Dish,19.9
Kokos-Curry Lachs gegrillt,Main_Dish,20.9
Tofu Salat,Main_Dish,14.9
Kokos-Curry-Tofu,Main_Dish,14.9
Gemüse in Tamarinde-Sauce,Main_Dish,14.9
White FUNGUS,Main_Dish,15.9
Spicy Tofu,Main_Dish,15.9
Green Power,Main_Dish,15.9
Pho Rinderhüftsteak,Soup,16.9
Kids Menü 1: 6 Chicken Nuggets,Main_Dish,9.9
Kids Menü 2: 3 Tempura Garnelen,Main_Dish,10.9
Ducky Style,Main_Dish,21.9
Island Coconut Prawn,Main_Dish,24.9
Pineapple Beef Bowl,Main_Dish,21.9
Beef Clay Pot,Main_Dish,23.9
Deep Sea,Main_Dish,25.9
Best Ocean Grilled,Main_Dish,27.9
Surf & Turf 'Maldives Beach' Style,Main_Dish,26.9
Salmon Lover,Main_Dish,26.9
