Item Name,Category,Price
Vitello Tonnato,Appetizer,19.50
Scogliera,Appetizer,17.90
Natura,Appetizer,18.50
Bruschetta,Appetizer,10.00
Bruschetta marinara,Appetizer,10.00
Spinaci,Appetizer,8.50
Pizzabrot,Appetizer,9.50
Panini,Appetizer,4.00
Carpaccio di Manzo,Appetizer,19.90
Caprese,Appetizer,10.70
Pomodoro e Cipolla,Appetizer,9.50
Insalata Verde,Appetizer,6.50
Sciacca Mare,Appetizer,10.50
Capricciosa,Appetizer,15.50
Arlecchino,Appetizer,10.50
Insalata Amy,Appetizer,18.90
Insalata Mia,Appetizer,17.90
Grande mista,Appetizer,8.50
Piccola mista,Appetizer,7.50
Margherita,Pizza,10.00
Salame,Pizza,12.00
Prosciutto,Pizza,12.00
Prosciutto e salame,Pizza,13.00
Prosciutto e funghi,Pizza,13.00
Calzone,Pizza,14.90
Ai formaggi,Pizza,14.50
Hawaii,Pizza,13.50
Capricciosa,Pizza,15.50
Alla rucola,Pizza,15.90
Salvo,Pizza,15.50
Rosa,Pizza,15.50
Contadina,Pizza,13.90
Primavera,Pizza,13.90
Ai frutti di mare,Pizza,15.50
Nordica,Pizza,15.70
Excellent,Pizza,14.50
Mare e monti,Pizza,16.50
La Rustica,Pizza,15.90
Al Salmone,Pizza,15.90
Gamberetti,Pizza,15.50
Biagia,Pizza,15.50
Laura,Pizza,15.80
Borgo mare,Pizza,16.90
Romana,Pizza,14.50
Ai Sapori,Pizza,15.90
Quattro stagioni,Pizza,14.50
Parma,Pizza,15.50
Gourmet,Pizza,14.80
Meraviglia,Pizza,16.90
La zingara,Pizza,14.50
Mista,Pizza,16.50
Buongustaia,Pizza,14.90
Emanuel,Pizza,14.90
Al baffo,Pizza,15.50
Messicana,Pizza,14.50
Gustosa,Pizza,14.90
Sconsolata,Pizza,15.90
O´Sole e Napule,Pizza,19.90
Federico,Pizza,18.90
Tricolore,Pasta,16.90
Rigatoni Bologna,Pasta,13.50
Rigatoni Ai formaggi,Pasta,13.50
Rigatoni Napoli,Pasta,12.50
Rigatoni Boscaiola,Pasta,14.50
Rigatoni Verde,Pasta,13.90
Rigatoni Dolce vita,Pasta,13.90
Rigatoni Campagnola,Pasta,14.50
Rigatoni Golosi,Pasta,14.90
Rigatoni Alla panna,Pasta,13.90
Rigatoni Gamberetti,Pasta,14.90
Spaghetti Alla panna,Pasta,13.90
Spaghetti Oceano,Pasta,15.50
Spaghetti Napoli,Pasta,12.50
Spaghetti Bologna,Pasta,13.50
Spaghetti Campagnola,Pasta,13.50
Spaghetti Al tonno,Pasta,13.90
"Spaghetti Aglio,olio e peperoncino",Pasta,12.50
Spaghetti Gamberetti,Pasta,13.90
Tagliatelle Ai funghi porcini,Pasta,16.90
Tagliatelle Al salmone,Pasta,15.90
Tortelloni Alla panna,Pasta,14.50
Cannelloni ricotta e spinaci,Pasta,14.90
Lasagne,Pasta,14.50
Cannelloni,Pasta,14.90
Rigatoni al forno,Pasta,14.50
Tagliatelle al forno,Pasta,14.80
Tortelloni rustica,Pasta,14.80
Tortelloni al forno,Pasta,14.90
Salmone,Main_Dish,17.90
Caprese,Main_Dish,18.50
Bologna,Main_Dish,16.50
Verdure,Main_Dish,16.50
Italia,Main_Dish,18.90
Calamari fritti,Main_Dish,25.90
Calamari alla griglia,Main_Dish,25.70
Cozze al pomodoro,Main_Dish,25.90
Cozze al vino bianco,Main_Dish,25.50
