Item Name,Category,Price
"San Pellegrino / Acqua Panna 0,50l",Non_Alcoholic_Drink,3.90
"San Pellegrino / Acqua Panna 1,0l",Non_Alcoholic_Drink,6.90
"Afri Cola,Bluna Orange,Bluna Zitrone 0,33l",Non_Alcoholic_Drink,3.90
"Bluna Cola Mix 0,33l",Non_Alcoholic_Drink,3.90
"Afri Cola light 0,33l",Non_Alcoholic_Drink,3.90
"Crodino 0,10l",Non_Alcoholic_Drink,3.90
"Sanbitter 0,25l",Non_Alcoholic_Drink,3.90
"Schweppes Bitter Lemon 0,25l",Non_Alcoholic_Drink,3.90
"Schweppes Tonic Water 0,25l",Non_Alcoholic_Drink,3.90
"San Pellegrino Aranciata 0,25l",Non_Alcoholic_Drink,3.90
"Apfelsaft 0,20l",Non_Alcoholic_Drink,3.90
"Apfelsaft 0,40l",Non_Alcoholic_Drink,4.50
"Orangensaft 0,20l",Non_Alcoholic_Drink,3.90
"Orangensaft 0,40l",Non_Alcoholic_Drink,4.50
"Johannisbeernektar 0,20l",Non_Alcoholic_Drink,3.90
"Johannisbeernektar 0,40l",Non_Alcoholic_Drink,4.50
"Maracujanektar 0,20l",Non_Alcoholic_Drink,3.90
"Maracujanektar 0,40l",Non_Alcoholic_Drink,4.50
"Ananasnektar 0,20l",Non_Alcoholic_Drink,3.90
"Ananasnektar 0,40l",Non_Alcoholic_Drink,4.50
"Saftschorle 0,20l",Non_Alcoholic_Drink,3.90
"Saftschorle 0,40l",Non_Alcoholic_Drink,4.50
"Jever Fun (Alkoholfrei) 0,33l",Non_Alcoholic_Drink,3.90
"Paulaner Hefeweizen (Alkoholfrei) 0,50l",Non_Alcoholic_Drink,4.50
"Ladenburger Hefeweizen 0,50l",Alcoholic_Drink,4.50
"Wasseralfinger Spezial 0,50l",Alcoholic_Drink,4.50
"Wasseralfinger Pils vom Fass 0,33l",Alcoholic_Drink,3.90
"Radler 0,50l",Alcoholic_Drink,4.20
"TERRE NARDIN VENTI 2 CUVÉE PINK Venetien 0,10l",Alcoholic_Drink,6.90
"TERRE NARDIN VENTI 2 CUVÉE PINK Venetien 0,75l",Alcoholic_Drink,31.90
"FERRARI MAXIMUM BRUT Trient 0,10l",Alcoholic_Drink,7.00
"FERRARI MAXIMUM BRUT Trient 0,75l",Alcoholic_Drink,42.00
"FERRARI ROSÉ BRUT Trient 0,75l",Alcoholic_Drink,49.00
"MOËT CHANDON ICE IMPÉRIAL Frankreich 0,75l",Alcoholic_Drink,150.00
APEROL SPRITZ,Alcoholic_Drink,7.90
LIMONCELLO SPRITZ,Alcoholic_Drink,7.50
HUGO,Alcoholic_Drink,7.50
CAMPARI DUE TOCCO ROSSO,Alcoholic_Drink,7.50
CAMPARI Soda,Alcoholic_Drink,7.50
CAMPARI Orange,Alcoholic_Drink,7.50
"MARTINI bianco,extra dry",Alcoholic_Drink,6.90
RAMAZZOTTI ROSATO DUO,Alcoholic_Drink,6.90
