Item Name,Category,Price
Kebab Menu (with Side & 0.33l Drink),Main_Dish,13.08
Vegetable Kebab Menu (with Side & 0.33l Drink),Main_Dish,14.28
Dürüm Menu (with Side & 0.33l Drink),Main_Dish,14.28
Vegetable Dürüm Menu (with Side & 0.33l Drink),Main_Dish,14.88
Burger Menu (with Side & 0.33l Drink),Main_Dish,14.28
Falafel Menu (with Side & 0.33l Drink),Main_Dish,13.68
Halloumi Menu (with Side & 0.33l Drink),Main_Dish,14.28
Mixed Salad (Fresh Seasonal Greens),Extras,7.8
Turkish Shepherd's Salad (with Feta Cheese),Extras,8.28
Crispy Chicken Salad,Extras,9.48
Kebab Salad (Chicken),Extras,9.48
Kebab Salad (Veal),Extras,10.08
Falafel Salad,Extras,9.48
Halloumi Salad,Extras,9.48
Momos Salad Mix (with Falafel & Halloumi),Extras,11.88
Chicken Kebab Classic,Main_Dish,7.8
Chicken Vegetable Kebab,Main_Dish,8.88
Chicken Kebab Whole Grain Spelt Bread,Main_Dish,8.4
Chicken Vegetable Kebab Whole Grain Bread,Main_Dish,9.48
Momos Chicken Kebab (Special Sauce),Main_Dish,8.48
Momos Bomb Chicken Kebab (Extra Meat & Cheese),Main_Dish,10.68
Veal Kebab Classic,Main_Dish,8.88
Veal Vegetable Kebab,Main_Dish,9.48
Veal Kebab Whole Grain Spelt Bread,Main_Dish,9.48
Veal Vegetable Kebab Whole Grain Bread,Main_Dish,10.08
Momos Veal Kebab (Special Sauce),Main_Dish,9.48
Momos Bomb Veal Kebab (Extra Meat & Cheese),Main_Dish,11.68
Chicken Dürüm Classic,Döner,9.48
Chicken Vegetable Dürüm,Döner,10.08
Veal Dürüm Classic,Döner,10.08
Veal Vegetable Dürüm,Döner,10.68
Crispy Chicken Dürüm,Döner,9.48
Momos Kebab Dürüm (Chicken),Döner,10.08
Momos Kebab Dürüm (Veal),Döner,10.68
Momos Bomb Dürüm (Chicken),Döner,11.4
Momos Bomb Dürüm (Veal),Döner,12.0
Chicken Kebab Box with French Fries,Main_Dish,8.28
Chicken Kebab Box with Rice,Main_Dish,8.28
Chicken Kebab Box with Salad,Main_Dish,8.28
Veal Kebab Box with French Fries,Main_Dish,8.88
Veal Kebab Box with Rice,Main_Dish,8.88
Veal Kebab Box with Salad,Main_Dish,8.88
Kebab Plate with Rice (Chicken),Main_Dish,16.8
Kebab Plate with Rice (Veal),Main_Dish,17.8
Kebab Plate with French Fries (Chicken),Main_Dish,15.6
Kebab Plate with French Fries (Veal),Main_Dish,16.6
Kebab Plate with Sweet Potato Fries (Chicken),Main_Dish,16.8
Kebab Plate with Sweet Potato Fries (Veal),Main_Dish,17.8
Kebab Plate with Country Potatoes (Chicken),Main_Dish,15.6
Kebab Plate with Country Potatoes (Veal),Main_Dish,16.6
Kebab Plate with Salad (Chicken),Main_Dish,15.6
Kebab Plate with Salad (Veal),Main_Dish,16.6
Iskender Kebab (Chicken),Main_Dish,16.8
Iskender Kebab (Veal),Main_Dish,17.8
Kebab Plate with Fried Vegetables (Chicken),Main_Dish,16.8
Kebab Plate with Fried Vegetables (Veal),Main_Dish,17.8
Veggie Kebab Classic,Main_Dish,7.08
Vegetable Veggie Kebab (Fried Veggies),Main_Dish,7.8
Falafel Sandwich,Main_Dish,7.68
Falafel Dürüm Wrap,Main_Dish,8.28
Halloumi Sandwich,Main_Dish,7.68
Halloumi Dürüm Wrap,Main_Dish,8.28
Veggie Burger,Main_Dish,9.48
Halloumi Burger,Main_Dish,9.48
Falafel Box,Main_Dish,8.28
Vegetable Box (Fried Veggies & Side),Main_Dish,8.28
Falafel Plate,Main_Dish,14.28
Halloumi Plate,Main_Dish,14.28
Vegetable Plate (Fried Veggies & Side),Main_Dish,14.28
Portion of French Fries,Extras,3.9
Portion of Sweet Potato Fries,Extras,4.9
Portion of Country Potatoes,Extras,4.2
Portion of Premium Rice,Extras,3.9
Portion of Fried Vegetables,Extras,4.5
Extra Falafel Piece (1 Piece),Extras,1.2
Extra Halloumi Slice (1 Piece),Extras,1.2
Extra Sauce Dip,Extras,1.0
