Item Name,Category,Price
Peking Soup,Soup,3.0
Vegetable Soup with Glass Noodles,Soup,3.5
Chicken Soup with Glass Noodles,Soup,4.0
Wonton Soup,Soup,4.0
Tom Yam Gung - Thai Prawn Soup,Soup,4.0
Tom Yam Gai - Thai Chicken Soup,Soup,4.0
Edamame,Appetizer,4.0
Mini Spring Rolls Vegetarian (5 Pcs),Appetizer,3.0
Vietnamese Spring Rolls (2 Pcs),Appetizer,4.5
Baked Wonton (5 Pcs),Appetizer,4.5
Baked Prawns (5 Pcs),Appetizer,5.5
Mixed Salad,Appetizer,3.5
Mixed Salad with Chicken,Appetizer,4.0
Mixed Salad with Breaded Chicken,Appetizer,5.0
Fried Rice with Egg and Vegetables,Main_Dish,9.5
Fried Rice with Egg, Vegetables and Tofu,Main_Dish,10.5
Fried Rice with Egg, Vegetables and Chicken,Main_Dish,10.5
Fried Rice with Egg, Vegetables and Breaded Chicken,Main_Dish,11.5
Fried Rice with Egg, Vegetables and Beef,Main_Dish,11.5
Fried Rice with Egg, Vegetables and Crispy Duck,Main_Dish,12.5
Fried Rice with Egg, Vegetables and Prawns,Main_Dish,12.5
Fried Rice with Egg, Vegetables and Kimchi,Main_Dish,10.5
Coconut Thai Curry with Vegetables,Main_Dish,10.0
Coconut Thai Curry with Vegetables and Tofu,Main_Dish,10.5
Coconut Thai Curry with Vegetables and Chicken,Main_Dish,10.5
Coconut Thai Curry with Vegetables and Breaded Chicken,Main_Dish,11.5
Coconut Thai Curry with Vegetables and Beef,Main_Dish,11.5
Coconut Thai Curry with Vegetables and Crispy Duck,Main_Dish,12.5
Coconut Thai Curry with Vegetables and Prawns,Main_Dish,12.5
Fried Noodles with Egg and Vegetables,Main_Dish,9.0
Fried Noodles with Egg, Vegetables and Tofu,Main_Dish,10.0
Fried Noodles with Egg, Vegetables and Chicken,Main_Dish,10.0
Fried Noodles with Egg, Vegetables and Breaded Chicken,Main_Dish,11.0
Fried Noodles with Egg, Vegetables and Beef,Main_Dish,11.0
Fried Noodles with Egg, Vegetables and Crispy Duck,Main_Dish,12.0
Fried Noodles with Egg, Vegetables and Prawns,Main_Dish,12.0
Peanut Sauce with Vegetables,Main_Dish,10.0
Peanut Sauce with Vegetables and Tofu,Main_Dish,10.5
Peanut Sauce with Vegetables and Chicken,Main_Dish,10.5
Peanut Sauce with Vegetables and Breaded Chicken,Main_Dish,11.5
Peanut Sauce with Vegetables and Beef,Main_Dish,11.5
Peanut Sauce with Vegetables and Crispy Duck,Main_Dish,12.5
Chop Suey with Vegetables,Main_Dish,10.0
Chop Suey with Vegetables and Tofu,Main_Dish,10.5
Chop Suey with Vegetables and Chicken,Main_Dish,10.5
Chop Suey with Vegetables and Breaded Chicken,Main_Dish,11.5
Chop Suey with Vegetables and Beef,Main_Dish,11.5
Chop Suey with Vegetables and Crispy Duck,Main_Dish,12.5
Chop Suey with Vegetables and Prawns,Main_Dish,12.5
Pho with Tofu,Soup,11.0
Pho with Chicken,Soup,12.0
Pho with Beef,Soup,12.0
Kung Pao with Vegetables,Main_Dish,10.0
Kung Pao with Vegetables and Tofu,Main_Dish,10.5
Kung Pao with Vegetables and Chicken,Main_Dish,10.5
Kung Pao with Vegetables and Breaded Chicken,Main_Dish,11.5
Kung Pao with Vegetables and Beef,Main_Dish,11.5
Kung Pao with Vegetables and Crispy Duck,Main_Dish,12.5
Kung Pao with Vegetables and Prawns,Main_Dish,12.5
Bowl Tofu,Main_Dish,10.5
Bowl Chicken,Main_Dish,10.5
Bowl Breaded Chicken,Main_Dish,11.5
Bowl Beef,Main_Dish,11.5
Bowl Crispy Duck,Main_Dish,12.5
Bowl Prawns,Main_Dish,12.5
Sweet and Sour Sauce with Vegetables, Pineapple and Breaded Chicken,Main_Dish,11.0
Sweet and Sour Sauce with Vegetables, Pineapple and Crispy Duck,Main_Dish,12.0
Fried Lemongrass with Vegetables and Tofu,Main_Dish,11.0
Fried Lemongrass with Vegetables and Chicken,Main_Dish,12.0
Fried Lemongrass with Vegetables and Beef,Main_Dish,12.0
Portion of Rice,Appetizer,2.5
Spicy Cucumber Salad,Appetizer,3.0
Kimchi,Appetizer,3.0
Crispy Fried Chicken Wings Small (4 Pieces),Main_Dish,6.0
Crispy Fried Chicken Wings Medium (6 Pieces),Main_Dish,8.0
Crispy Fried Chicken Wings Jumbo (9 Pieces),Main_Dish,10.0
Combo Menu 4 Pieces,Main_Dish,10.0
Combo Menu 6 Pieces,Main_Dish,12.0
Combo Menu 9 Pieces,Main_Dish,14.0
Noodle Box - With Chicken,Main_Dish,6.0
Chicken Box - With Breaded Chicken,Main_Dish,7.0
Duck Box - With Crispy Duck,Main_Dish,8.0
Rice Box - With Chicken,Main_Dish,7.0
Rice Box Breaded - With Breaded Chicken,Main_Dish,7.0
Rice Box Duck - With Crispy Duck,Main_Dish,8.0
Curry Box - With Chicken,Main_Dish,7.0
Curry Box Duck - With Crispy Duck,Main_Dish,8.0
Chop Suey Box - With Chicken,Main_Dish,7.0
Peanut Box - With Chicken,Main_Dish,7.0
Peanut Box Duck - With Crispy Duck,Main_Dish,8.0
Chicken Bucket - Breaded Chicken Only,Main_Dish,8.0
