Item Name,Category,Price
Parma with Buffalo Mozzarella,Appetizer,12.9
Bresaola with Buffalo Mozzarella,Appetizer,13.9
Prosciutto and Melon,Appetizer,11.9
Mixed Antipasto,Appetizer,18.9
Mozzarella and Tomato,Appetizer,9.7
Baked Artichokes (Served Warm),Appetizer,9.7
King Prawn Cocktail,Appetizer,11.9
Seafood Salad,Appetizer,14.5
Baked Broccoli,Appetizer,11.5
Baked Mushrooms Jesolo Style,Appetizer,13.7
Trombini Bread Rolls,Appetizer,3.4
Bruschetta House Style,Appetizer,7.9
Tomato Bruschetta,Appetizer,6.7
Mussels in White Wine or Tomato Sauce,Appetizer,19.7
Green Salad,Extras,5.4
Mixed Salad,Extras,6.7
Tomato Salad,Extras,5.8
Cucumber Salad,Extras,4.9
Winter Salad,Extras,11.5
Spring Salad,Extras,11.5
Tomato and Cucumber Salad,Extras,6.1
Tuna Salad,Extras,7.7
Capricciosa Salad,Extras,7.7
Rocket and Parmesan Salad,Extras,7.9
Chicken Salad with Rocket,Extras,13.7
Jesolo Salad,Extras,13.7
Margherita,Pizza,8.9
Napoli,Pizza,9.7
Greca,Pizza,11.3
Della Nonna,Pizza,10.1
Diavolo,Pizza,11.4
Funghi,Pizza,10.1
Prosciutto,Pizza,10.1
Salami,Pizza,10.1
Parma and Rocket,Pizza,14.7
Calabrese,Pizza,11.5
Romana,Pizza,11.1
Siciliana,Pizza,13.1
Capricciosa,Pizza,11.9
Four Seasons,Pizza,12.9
Calzone,Pizza,11.9
Tonno,Pizza,12.7
Frutti Di Mare,Pizza,14.7
Taverna,Pizza,11.9
Rustica,Pizza,14.1
Della Casa,Pizza,13.7
Hawaii,Pizza,10.3
Four Cheese,Pizza,13.1
Vegetariana,Pizza,12.2
Speciale,Pizza,12.9
Pappagallo,Pizza,11.4
Giovanni,Pizza,14.2
Buon Giorno,Pizza,14.2
Contadina,Pizza,12.9
Pizza O Sole Mio,Pizza,13.3
Napoletana,Pizza,12.7
Atomica,Pizza,13.7
Sardegnia,Pizza,14.2
Toscana,Pizza,14.2
Salmon Pizza,Pizza,14.2
Pizza Jesolo,Pizza,14.7
Pizza Mama,Pizza,11.1
Bresaola Pizza,Pizza,16.7
Family Pizza 60cm,Pizza,34.0
XXL Pizza 50cm,Pizza,27.0
Spaghetti Napoli,Pasta,10.2
Spaghetti Bolognese,Pasta,10.7
Spaghetti Carbonara,Pasta,11.9
Spaghetti Vongole,Pasta,13.1
Spaghetti Garlic Oil and Chili,Pasta,10.1
Spaghetti Casalinga,Pasta,11.9
Spaghetti with Pesto,Pasta,11.1
Spaghetti Pasticciati,Pasta,12.9
Spaghetti Fantasia,Pasta,13.1
Spaghetti Pescatore,Pasta,14.1
Spaghetti Marinara,Pasta,14.7
Spaghetti Amatriciana,Pasta,11.9
Spaghetti Al Cartoccio,Pasta,14.1
Spaghetti Ortolana,Pasta,14.1
Tagliatelle Acconciati,Pasta,13.4
Tagliatelle with Porcini Mushrooms,Pasta,11.7
Tagliatelle Mare E Monte,Pasta,14.7
Tagliatelle with Salmon,Pasta,14.7
Tagliatelle with Tuna,Pasta,14.2
Tagliatelle Pomodoro,Pasta,11.1
Tortellini Napoli,Pasta,11.4
Tortellini with Cream Sauce,Pasta,11.9
Tortellini Casalinga,Pasta,12.2
Tortellini Gorgonzola,Pasta,12.4
Tortellini Fantasia,Pasta,13.6
Tortellini Four Cheese,Pasta,14.6
Tortellini Bolognese,Pasta,12.6
Tortellini Zucchini,Pasta,12.1
Penne All'arrabbiata,Pasta,10.5
Penne with Gorgonzola,Pasta,11.4
Penne Del Boscaiolo,Pasta,12.1
Penne Vodka,Pasta,12.4
Penne Pasticciata,Pasta,12.4
Penne Tomato Garlic,Pasta,10.7
Penne Zucchini,Pasta,11.7
Penne Four Cheese,Pasta,12.1
Baked Penne,Pasta,11.4
Baked Lasagna,Main_Dish,12.1
Baked Cannelloni,Main_Dish,12.1
Baked Gnocchi,Main_Dish,11.7
Baked Tortellini,Main_Dish,12.7
Baked Rigatoni,Main_Dish,11.7
Gnocchi Napoli,Main_Dish,11.5
Gnocchi Gorgonzola,Main_Dish,12.5
Gnocchi Casalinga,Main_Dish,12.5
Gnocchi Bolognese,Main_Dish,12.1
Gnocchi Four Cheese,Main_Dish,12.9
Gnocchi with Salmon,Main_Dish,14.7
Gnocchi Toscana,Main_Dish,13.1
Gnocchi Zucchini,Main_Dish,12.3
Gnocchi Paesana,Main_Dish,11.7
Risotto Milanese,Main_Dish,14.7
Risotto with Porcini Mushrooms,Main_Dish,13.1
Risotto with Small Prawns,Main_Dish,13.7
Risotto Buongustaio,Main_Dish,13.7
Risotto Primavera,Main_Dish,13.1
Risotto Seafood,Main_Dish,13.1
Grilled Beef Steak,Main_Dish,21.1
Beef Steak Pizzaiola Style,Main_Dish,22.9
Beef Steak with Mushrooms,Main_Dish,22.9
Beef Steak with Gorgonzola,Main_Dish,22.9
Beef Steak Mexican Style,Main_Dish,22.9
Beef Steak with Green Pepper,Main_Dish,22.9
Beef Steak Chef Style,Main_Dish,23.5
Piccata Milanese,Main_Dish,20.0
Veal Scaloppine with Mushrooms,Main_Dish,20.0
Veal Scaloppine with Gorgonzola,Main_Dish,20.0
Saltimbocca alla Romana,Main_Dish,21.9
Lemon Veal Scaloppine,Main_Dish,20.0
Mixed Grill Platter,Main_Dish,26.0
Chicken Breast with Mushrooms,Main_Dish,17.0
Wiener Schnitzel,Main_Dish,17.0
Grilled Calamari,Main_Dish,22.9
Fried Calamari,Main_Dish,19.5
Grilled King Prawns,Main_Dish,25.0
Mixed Grilled Meat Platter,Main_Dish,27.0
Grilled Salmon,Main_Dish,20.9
Mixed Grilled Fish Platter for 2 People,Main_Dish,50.0
Grilled Pike-Perch Fillet,Main_Dish,20.9
Mixed Fried Seafood,Main_Dish,25.0
Sea Bass,Main_Dish,28.0
Argentine Beef Fillet,Main_Dish,31.9
Sea Bream,Main_Dish,28.0
Lamb Chops,Main_Dish,26.0
Paella,Main_Dish,45.0
Anchovies,Main_Dish,16.9
Tiramisu,Dessert,8.5
