Item Name,Category,Price
Antipasto mille Sapori,Appetizer,17.0
Antipasto Parmese,Appetizer,13.0
Antipasto Caprese,Appetizer,10.0
Insalata di Mare,Appetizer,15.0
Antipasto Salerno,Appetizer,14.0
Bruschetta Caprese,Appetizer,8.5
Bruschetta,Appetizer,7.5
Insalata di Gamberetti,Appetizer,15.0
Insalata Sasa,Appetizer,13.0
Insalata Mista piccola,Appetizer,7.0
Insalata Mista grande,Appetizer,9.0
Insalata Pomodori,Appetizer,7.5
Insalata Visconti,Appetizer,10.0
Insalata Brigitte,Appetizer,10.0
Insalata Capricciosa,Appetizer,14.0
Minestrone,Soup,8.0
Stracciatella alla Romana,Soup,8.0
Crema di Pomodoro,Soup,8.0
Tortelini in Brodo,Soup,8.0
Rigatoni al Forno,Pasta,13.0
Rigatoni Biagi,Pasta,13.5
Tortellini al Forno,Pasta,13.5
Lasagne al Forno,Pasta,12.5
Gnocchi al Forno,Pasta,13.5
Spaghetti al Cartoccio,Pasta,13.0
Rigatoni vegetali al Forno,Pasta,12.0
Cannelloni al Forno,Pasta,14.0
Bistecca alla Pizzaiola,Main_Dish,29.0
istecca alla Griglia,Main_Dish,28.0
Bistecca Chianti,Main_Dish,29.0
Scaloppina al vino Bianco,Main_Dish,25.0
Saltimbocca alla Romana,Main_Dish,26.5
Valdostana,Main_Dish,26.5
Piccata Milanese,Main_Dish,25.0
Calamari Fritti,Main_Dish,23.5
Calamari Livornese,Main_Dish,24.5
Calamari  Griglia,Main_Dish,24.0
Pesce Spada alla Griglia,Main_Dish,26.5
Pesce Spada alla Marinara,Main_Dish,27.5
Gamberi alla Griglia,Main_Dish,27.0
Salmone alla Griglia,Main_Dish,26.5
Salmone Cremoso,Main_Dish,27.5
Spaghetti della Casa,Pasta,12.5
Spaghetti Bolognese,Pasta,11.0
Spaghetti Cardinale,Pasta,17.0
Spaghetti Mare,Pasta,14.0
Spaghetti Aglio e Olio,Pasta,11.0
Spaghetti Carbonara,Pasta,12.5
Spaghetti Mafia,Pasta,12.0
Spaghetti Tonno,Pasta,13.0
Spaghetti Jakobi,Pasta,17.0
Spaghetti Amatriciana,Pasta,13.0
Spaghetti Napoli,Pasta,10.5
Gnocchi della Casa,Pasta,13.5
Gnocchi 4 Formaggi,Pasta,14.0
Gnocchi Casa Mia,Pasta,13.5
Gnocchi Napoli,Pasta,13.0
Rigatoni della Casa,Pasta,12.5
Rigatoni Bolognese,Pasta,11.5
Rigatoni Giuseppe Verdi,Pasta,13.0
Rigatoni Ruota,Pasta,14.5
Tagliatelle della Casa,Pasta,13.0
Tagliatelle Verdi,Pasta,13.5
Tagliatelle  Salmone,Pasta,16.0
Tagliatelle Alburni,Pasta,13.0
Tagliatelle Principessa,Pasta,15.5
Tagliatelle Porcini,Pasta,14.5
Tris Pasta,Pasta,20.0
Tortellini della Casa,Pasta,13.5
Tortellini Panna,Pasta,13.5
Tortellini Gorgonzola,Pasta,13.5
Tortellini Primavera,Pasta,14.0
Margherita (26 cm),Pizza,9.0
Margherita (33 cm),Pizza,10.0
Salami (26 cm),Pizza,10.0
Salami (33 cm),Pizza,11.0
Prosciutto (26 cm),Pizza,10.0
Prosciutto (33 cm),Pizza,11.0
Regina (26 cm),Pizza,10.5
Regina (33 cm),Pizza,11.5
Europa (26 cm),Pizza,10.5
Europa (33 cm),Pizza,11.5
Mista (26 cm),Pizza,11.5
Mista (33 cm),Pizza,12.5
Principe (26 cm),Pizza,11.5
Principe (33 cm),Pizza,12.5
Chef (26 cm),Pizza,12.0
Chef (33 cm),Pizza,13.0
Vegetale (26 cm),Pizza,11.5
Vegetale (33 cm),Pizza,12.5
Bianca Neve (26 cm),Pizza,11.0
Bianca Neve (33 cm),Pizza,12.0
Capricciosa (26 cm),Pizza,13.5
Capricciosa (33 cm),Pizza,14.5
Catastrofe (26 cm),Pizza,14.5
Catastrofe (33 cm),Pizza,15.5
Mare (26 cm),Pizza,12.5
Mare (33 cm),Pizza,13.5
Laura (26 cm),Pizza,13.5
Laura (33 cm),Pizza,14.5
Pizza 4 Stagione (26 cm),Pizza,12.5
Pizza 4 Stagione (33 cm),Pizza,13.5
Salerno (26 cm),Pizza,15.0
Salerno (33 cm),Pizza,16.0
Diavolo (26 cm),Pizza,12.5
Diavolo (33 cm),Pizza,13.5
Gusto (26 cm),Pizza,12.5
Gusto (33 cm),Pizza,13.5
Hawaii (26 cm),Pizza,10.5
Hawaii (33 cm),Pizza,11.5
Napoli (26 cm),Pizza,11.5
Napoli (33 cm),Pizza,12.5
Calzone (26 cm),Pizza,12.5
Calzone (33 cm),Pizza,13.5
Calabrese (26 cm),Pizza,10.5
Calabrese (33 cm),Pizza,11.5
Pizzabrot,Pizza,8.0
