Item Name,Category,Price
Edamame,Appetizer,5.0
Miso Soup,Soup,5.0
Miso Sake Soup,Soup,6.5
Thai Coconut Soup (Chicken Breast Filet),Soup,6.5
Thai Coconut Soup (Tofu),Soup,6.0
Thai Coconut Soup (Prawns),Soup,5.5
Sweet Potato Fries,Appetizer,5.0
Vietnamese Spring Rolls,Appetizer,7.0
Wakame Salad,Appetizer,6.0
Ocean Wakame Salad (with Flamed Salmon),Appetizer,10.0
Ocean Wakame Salad (with Flamed Tuna),Appetizer,11.0
Summer Rolls (Chicken Breast Filet),Appetizer,8.0
Summer Rolls (Tofu),Appetizer,7.0
Summer Rolls (Prawns),Appetizer,7.0
Gyoza (Vegetarian),Appetizer,6.5
Gyoza (Chicken & Veggies),Appetizer,6.0
Ha Cao (Steamed Dumplings),Appetizer,7.5
Salmon Tartare,Appetizer,11.0
Tuna Tartare,Appetizer,12.0
Sakana Ceviche,Appetizer,14.0
Grilled Pulpo,Appetizer,10.0
Chicken Karaage,Appetizer,7.0
Salmon Tataki,Appetizer,13.0
Tuna Tataki,Appetizer,14.0
Goi Xoai (Mango Salad) (Beef),Appetizer,10.0
Goi Xoai (Mango Salad) (Black Tiger Prawns),Appetizer,13.0
Goi Xoai (Mango Salad) (Classic Style),Appetizer,13.0
Goi Xoai (Mango Salad) (Tofu),Appetizer,11.0
Agedashi Tofu,Appetizer,6.0
Yakitori Skewers,Appetizer,7.0
Ebi Tempura,Appetizer,8.0
Tapas Mix for 2 People,Appetizer,24.0
Tapas Mix for 4 People,Appetizer,38.0
Jasmin Rice,Extras,3.0
Sushi Rice,Extras,5.0
Fried Udon Noodles,Extras,9.0
Peanut Sauce,Extras,3.0
Curry Sauce,Extras,3.0
Small Mixed Salad,Extras,5.0
Ramen - Udon Soup (Grilled Chicken Breast Filet),Soup,20.0
Ramen - Udon Soup (Tofu),Soup,17.0
Ramen - Udon Soup (Classic Style),Soup,16.0
Ramen - Udon Soup (Beef),Soup,18.0
Ramen - Udon Soup (Black Tiger Prawns),Soup,20.0
Best Pho You (Traditional Pho Soup) (Chicken Breast Filet),Soup,18.0
Best Pho You (Traditional Pho Soup) (Tofu),Soup,17.0
Best Pho You (Traditional Pho Soup) (Beef),Soup,15.0
Fried Ramen or Udon Noodles (Barberie Duck Breast Filet),Noodle,16.0
Fried Ramen or Udon Noodles (Chicken Breast Filet),Noodle,22.0
Fried Ramen or Udon Noodles (Classic Style),Noodle,19.0
