Item Name,Category,Price
Pizza Margherita,Pizza,8.5
Pizza Prosciutto,Pizza,9.5
Pizza Salami,Pizza,9.5
Pizza Mare,Pizza,13.9
Pizza 4 Stagione,Pizza,11.9
Pizza Diavolo,Pizza,11.9
Pizza Vegetarisch,Pizza,11.9
Pizza Emanuel,Pizza,12.9
Pizza Hawai,Pizza,11.7
Pizza Napoli,Pizza,10.9
Pizza Calzone,Pizza,11.9
Pizza Catastrofe,Pizza,13.9
Pizza Laura,Pizza,13.9
Pizza Salerno,Pizza,14.9
Pizza Brot,Pizza,4.9
Pizza Brötchen,Pizza,3.5
Risotto Mare,Rice,13.9
Risotto Terra & Mare,Rice,13.9
Risotto Casa,Rice,12.8
Gnocchi 4 Formaggi,Pasta,11.9
Gnocci alla ciambellina,Pasta,11.9
Penne all arrabbiata,Pasta,10.5
Penne dei Barcaiolo,Pasta,12.9
Penne Esotiche,Pasta,13.3
Lasagne,Pasta,12.9
Cannelloni,Pasta,12.9
Rigatoni al Forno,Pasta,11.9
Rigatoni Biagia,Pasta,12.9
Tortelloni Orazio (fleischgefüllt),Pasta,12.9
Fagotto Maria-Felicia,Pasta,13.9
Gnocchi al forno,Pasta,11.9
Penne Fornaia,Pasta,12.9
Antipasto Don Salva,Appetizer,15.5
Antipasto Peppone,Appetizer,13.8
Antipasto Caprese,Appetizer,9.5
Antipasto Positano,Appetizer,13.9
Antipasto Valle Sele,Appetizer,13.5
Bruschetta,Appetizer,5.0
Crema die Pomodoro,Soup,5.9
Tortelini in Brodo,Soup,4.8
Minestrone,Soup,5.6
Insalata Italia piccola,Extras,6.9
Insalata Italia grande,Extras,7.9
Insalata Sasa,Extras,11.8
Insalata Pomodori,Extras,8.0
Insalata Amelie,Extras,13.5
Insalata Brigitte,Extras,12.3
Rigatoni Sicilia,Pasta,11.9
Rigatoni Zinella,Pasta,11.9
Rigatoni Bolognese,Pasta,10.5
Rigatoni Pantelleria,Pasta,12.6
Rigatoni Sasa,Pasta,12.9
Rigatoni Verdecampo,Pasta,11.9
Rigatoni Boscaiola,Pasta,11.9
Tortelloni Panna (fleischgefüllt),Pasta,11.5
Tortelloni del Re (fleischgefüllt),Pasta,12.9
Tagliatelle Norvegese,Pasta,12.9
Tagliatelle Principessa,Pasta,12.9
Tagliatelle Porcini,Pasta,12.9
Spaghetti Mare,Pasta,14.5
Spaghetti aglio e olio,Pasta,9.9
Spaghetti Mafia,Pasta,11.5
